"Date","Description","ChkRef","Amount","Balance"
02/11/2025,XX8062 POS PURCHASE QT 777 ATLANTA GA 00000000 020490,,-$3.22,"$5,191.03"
02/11/2025,XX8062 POS PURCHASE STATE RD AND TOL 404-8936135 GA 79204725 019115,,-$20.00,"$5,171.03"
02/13/2025,XX8062 POS PURCHASE CHICK-FIL-A #081 770-732-8034 GA 1 016407,,-$4.12,"$5,166.91"
02/13/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043013 513583,,-$34.30,"$5,132.61"
02/14/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,"$1,093.72","$6,226.33"
02/14/2025,XX8062 POS PURCHASE QT 727 MARIETTA GA 00000000 015740,,-$3.17,"$6,223.16"
02/14/2025,XX8062 POS PURCHASE WL *Steam Purcha 425-9522985 WA 00000007 093725,,-$10.30,"$6,212.86"
02/18/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$6,167.86"
02/18/2025,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 010155,,-$3.18,"$6,164.68"
02/18/2025,XX8062 POS PURCHASE QT 727 MARIETTA GA 00000000 079692,,-$4.76,"$6,159.92"
02/18/2025,XX8062 POS PURCHASE RACETRAC122 00 MARIETTA GA 007 029515,,-$4.77,"$6,155.15"
02/18/2025,XX8062 POS PURCHASE GIRL SCOUTS OF T 855-530-4467 NY 00000000 000801,,-$6.00,"$6,149.15"
02/18/2025,XX8062 POS PURCHASE KROGER #430 5339 WOODSTOCK GA 99999999 722268,,-$6.00,"$6,143.15"
02/18/2025,XX8062 POS PURCHASE MOES CANTON GA 00000000 037131,,-$7.48,"$6,135.67"
02/18/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 052208,,-$10.59,"$6,125.08"
02/18/2025,XX8062 POS PURCHASE GOOGLE *YouTubeP g.co/helppay# CA 00000000 099517,,-$13.99,"$6,111.09"
02/18/2025,XX8062 POS PURCHASE TACO MAC 27 CANTON GA 40928916 088315,,-$18.77,"$6,092.32"
02/18/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043014 514926,,-$23.93,"$6,068.39"
02/18/2025,XX8062 POS PURCHASE QT 781 OUTSIDE WOODSTOCK GA 001 520420,,-$25.32,"$6,043.07"
02/18/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043012 512507,,-$77.12,"$5,965.95"
02/18/2025,XX8062 POS PURCHASE DR FAHRENHEIT HV laura@drfahre GA EAQYIQCH 021675,,-$89.00,"$5,876.95"
02/18/2025,XX8062 MT DDA DEBIT CASH APP*DEREK Oakland CA 1 034587,,-$700.00,"$5,176.95"
02/18/2025,PENNYMAC CASH 8006956424-0082,,"-$1,401.50","$3,775.45"
02/19/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043004 504317,,-$31.33,"$3,744.12"
02/19/2025,ADVS ED SERV PPD STUDNTLOAN 0000,,-$86.18,"$3,657.94"
02/19/2025,SALLIE MAE BANK AUTOPAY BR_BRADLEY SIX,,-$243.41,"$3,414.53"
02/19/2025,Interest,,$0.05,"$3,414.58"
02/20/2025,XX8062 POS PURCHASE QT 781 WOODSTOCK GA 00000000 028202,,-$6.62,"$3,407.96"
02/20/2025,XX8062 POS PURCHASE QT 775 OUTSIDE MARIETTA GA 001 014010,,-$21.06,"$3,386.90"
02/21/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,$993.60,"$4,380.50"
02/21/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 074503,,-$5.29,"$4,375.21"
02/21/2025,COMCAST 8220210 XXXXX2053 4146338,,-$70.00,"$4,305.21"
02/24/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$4,260.21"
02/24/2025,XX8062 POS PURCHASE GOOGLE *Everybod 855-836-3987 CA 00000000 059612,,-$1.99,"$4,258.22"
02/24/2025,XX8062 POS PURCHASE CHICK-FIL-A #081 770-732-8034 GA 1 093211,,-$4.12,"$4,254.10"
02/24/2025,XX8062 POS PURCHASE CHICK-FIL-A #032 770-592-4755 GA 1 060248,,-$8.31,"$4,245.79"
02/24/2025,XX8062 POS PURCHASE PAPA JOHN'S #514 187-754-7727 GA 45718694 018694,,-$11.86,"$4,233.93"
02/24/2025,XX8062 POS PURCHASE WAL-MART #5814 HOLLY SPRINGS GA 24581401 780719,,-$31.35,"$4,202.58"
02/24/2025,XX8062 POS PURCHASE BUC-EE'S #52 CALHOUN GA 101 505314438294,,-$60.99,"$4,141.59"
02/24/2025,XX8062 POS PURCHASE NORTH FULTON PES 770-4757419 GA 77371064 042483,,-$85.00,"$4,056.59"
02/25/2025,XX8062 POS PURCHASE CHEVRON 0302330 ATLANTA GA 00000000 037385,,-$4.19,"$4,052.40"
02/25/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043003 503245,,-$31.43,"$4,020.97"
02/25/2025,IGS ENERGY SCANA BILL PAY 20771154731,,-$64.77,"$3,956.20"
02/26/2025,XX8062 POS PURCHASE BP#1453300JP PAL PALMETTO GA 02020201 171359,,-$2.79,"$3,953.41"
02/26/2025,XX8062 POS PURCHASE QT 720 LITHIA SPRING GA 00000000 060988,,-$3.20,"$3,950.21"
02/26/2025,XX8062 POS PURCHASE FIXIT ACE HDWE-R 9999999999 GA 18840928 022288,,-$6.34,"$3,943.87"
02/28/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,$936.36,"$4,880.23"
02/28/2025,XX8062 POS PURCHASE STATE RD AND TOL 404-8936135 GA 79204725 088256,,-$20.00,"$4,860.23"
02/28/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043015 015801,,-$24.14,"$4,836.09"
02/28/2025,XX8062 POS PURCHASE XFINITY MOBILE 888-936-4968 PA 00000000 052123,,-$57.35,"$4,778.74"
03/03/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$4,733.74"
03/03/2025,XX8062 POS PURCHASE RACETRAC636 DOUGLASVILLE GA 32795103 447646,,-$2.99,"$4,730.75"
03/03/2025,XX8062 POS PURCHASE QT 720 LITHIA SPRING GA 00000000 077082,,-$3.20,"$4,727.55"
03/03/2025,XX8062 POS PURCHASE RACETRAC122 00 MARIETTA GA 007 029165,,-$3.56,"$4,723.99"
03/03/2025,XX8062 POS PURCHASE RACETRAC122 00 MARIETTA GA 007 030107,,-$3.56,"$4,720.43"
03/03/2025,XX8062 POS PURCHASE CHICK-FIL-A #081 770-732-8034 GA 1 078479,,-$4.12,"$4,716.31"
03/03/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 008209,,-$7.06,"$4,709.25"
03/03/2025,XX8062 POS PURCHASE LINODE . AKAMAI 609-380-7100 MA 00000000 063458,,-$7.09,"$4,702.16"
03/03/2025,XX8062 POS PURCHASE TACO BELL 732577 678-905-3291 GA 7325003 017156,,-$9.20,"$4,692.96"
03/03/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 031407,,-$15.89,"$4,677.07"
03/03/2025,XX8062 POS PURCHASE PAPA JOHN'S #514 187-754-7727 GA 54399303 099303,,-$24.53,"$4,652.54"
03/03/2025,XX8062 POS PURCHASE RACETRAC122 00 MARIETTA GA 008 030108,,-$34.63,"$4,617.91"
03/03/2025,XX8062 POS PURCHASE SCHOOLFUNDR.ORG SCHOOLFUNDR.O MN EGVRG2ZL 028500,,-$57.00,"$4,560.91"
03/03/2025,PAYPAL INST XFER PATREON MEMBER,,-$21.20,"$4,539.71"
03/04/2025,XX8062 POS PURCHASE QT 720 LITHIA SPRING GA 00000000 027928,,-$3.20,"$4,536.51"
03/04/2025,XX8062 POS PURCHASE CHEVRON 0307698 MABLETON GA 00000000 058259,,-$5.29,"$4,531.22"
03/04/2025,XX8062 POS PURCHASE ZAXBY'S #24701 LITHIA SPRING GA 00000000 063271,,-$5.66,"$4,525.56"
03/05/2025,MIDJOURNEY INC. MIDJOURNEY ST-K9G2F8I2M6W4,,-$10.60,"$4,514.96"
03/06/2025,XX8062 POS PURCHASE RACETRAC122 00 MARIETTA GA 007 026969,,-$3.56,"$4,511.40"
03/06/2025,XX8062 POS PURCHASE PAPA JOHN'S #514 187-754-7727 GA 08947669 047669,,-$8.68,"$4,502.72"
03/06/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043011 511908,,-$25.22,"$4,477.50"
03/07/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,$806.34,"$5,283.84"
03/07/2025,XX8062 POS PURCHASE OPENAI *CHATGPT OPENAI.COM CA 7N3QWJUF 026256,,-$20.00,"$5,263.84"
03/10/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$5,218.84"
03/10/2025,XX8062 POS PURCHASE QT 812 CUMMING GA 00000000 078712,,-$3.20,"$5,215.64"
03/10/2025,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 859455,,-$6.24,"$5,209.40"
03/10/2025,XX8062 POS PURCHASE PETS AND SUPPLIE KENNESAW GA 75587130 030018,,-$7.96,"$5,201.44"
03/10/2025,XX8062 POS PURCHASE QT 781 OUTSIDE WOODSTOCK GA 001 524892,,-$24.38,"$5,177.06"
03/10/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043015 015573,,-$24.93,"$5,152.13"
03/10/2025,XX8062 POS PURCHASE SLICE*SAPORITOSP SLICELIFE.COM NY OIWK9ICL 054498,,-$46.35,"$5,105.78"
03/10/2025,GPC GPC EFT XXXXXX9366CTN,,-$359.02,"$4,746.76"
03/11/2025,XX8062 POS PURCHASE WL *STEAM PURCHA 425-889-9642 WA 00000000 053399,,-$10.59,"$4,736.17"
03/12/2025,XX8062 POS PURCHASE CHICK-FIL-A #008 770-421-8650 GA 1 082016,,-$4.12,"$4,732.05"
03/12/2025,XX8062 POS PURCHASE RACETRAC2582 CANTON GA 57777001 463455,,-$6.44,"$4,725.61"
03/12/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043011 511775,,-$35.31,"$4,690.30"
03/13/2025,XX8062 POS PURCHASE QT 1702 SMYRNA GA 00000000 092461,,-$3.17,"$4,687.13"
03/13/2025,XX8062 POS PURCHASE RACETRAC122 00 MARIETTA GA 007 028042,,-$9.08,"$4,678.05"
03/14/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,$767.58,"$5,445.63"
03/14/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043012 512451,,-$28.67,"$5,416.96"
03/14/2025,AMAZON.COM SERVI INTERNET 043000093914210,,-$23.30,"$5,393.66"
03/17/2025,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,,-$45.00,"$5,348.66"
03/17/2025,XX8062 POS PURCHASE QT 733 AUSTELL GA 00000000 032532,,-$3.17,"$5,345.49"
03/17/2025,XX8062 POS PURCHASE KROGER #430 5339 WOODSTOCK GA 99999999 006864,,-$10.07,"$5,335.42"
03/17/2025,XX8062 POS PURCHASE CITY BBQ ACWORTH ACWORTH GA 00006167 026718,,-$13.76,"$5,321.66"
03/17/2025,XX8062 POS PURCHASE GOOGLE*YOUTUBEPR G.CO/HELPPAY# CA WPGTID01 040036,,-$13.99,"$5,307.67"
03/17/2025,XX8062 POS PURCHASE GIRL SCOUTS OF T 855-530-4467 NY 00000000 015519,,-$18.00,"$5,289.67"
03/17/2025,XX8062 POS PURCHASE SAPORITOS PIZZA CANTON GA 00000000 097469,,-$26.71,"$5,262.96"
03/17/2025,XX8062 POS PURCHASE QT 781 OUTSIDE WOODSTOCK GA 001 646718,,-$30.18,"$5,232.78"
03/17/2025,XX8062 POS PURCHASE Spring Express V Canton GA 00017000 002755,,-$37.43,"$5,195.35"
03/17/2025,PENNYMAC CASH 8006956424-0083,,"-$1,401.50","$3,793.85"
03/18/2025,XX8062 POS PURCHASE POPEYES 5973 SANDY SPRINGS GA 00004607 055028,,-$6.81,"$3,787.04"
03/18/2025,XX8062 POS PURCHASE STEAMGAMES.COM 4 425-8899642 WA 00000000 079906,,-$54.04,"$3,733.00"
03/19/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043011 511787,,-$34.90,"$3,698.10"
03/19/2025,ADVS ED SERV PPD STUDNTLOAN 0000,,-$86.18,"$3,611.92"
03/19/2025,SALLIE MAE BANK AUTOPAY BR_BRADLEY SIX,,-$243.41,"$3,368.51"
03/19/2025,Interest,,$0.03,"$3,368.54"
03/19/2025,881491 POS PREAUTH WL *Steam Purcha 425-9522985 WA 09063506 881491(Pending),,-$13.76,"$4,118.88"
03/20/2025,XX8062 POS PURCHASE PUBLIX #1745 MARIETTA GA 00000000 070793,,-$9.98,"$3,358.56"
03/20/2025,XX8062 POS PURCHASE CHICK-FIL-A #007 770-977-3355 GA 1 005961,,-$10.37,"$3,348.19"
03/20/2025,XX8062 POS PURCHASE NORTH FULTON PES 770-4757419 GA 77371064 038894,,-$85.00,"$3,263.19"
03/21/2025,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,,"$1,083.00","$4,346.19"
03/21/2025,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 623673,,-$6.56,"$4,339.63"
03/21/2025,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043010 510308,,-$16.48,"$4,323.15"
03/21/2025,XX8062 POS PURCHASE QT 781 OUTSIDE WOODSTOCK GA 001 697930,,-$30.13,"$4,293.02"
03/21/2025,XX8062 POS PURCHASE QT 817 CUMMING GA 00000000 008758,,-$31.38,"$4,261.64"
03/21/2025,COMCAST 8220210 XXXXX2053 4774018,,-$129.00,"$4,132.64"
03/21/2025,76123 POS PURCHASE QT 1725 INSIDE CUMMING GA 00000000 076123(Pending),,-$9.59,"$4,109.29"
03/21/2025,24901 POS PURCHASE QT 1702 SMYRNA GA 00000000 024901(Pending),,-$3.17,"$4,106.12"
